Category: All categories

Week,poland: (United States),usa: (United States),uk: (United States)
2021-03-14,1,41,14
2021-03-21,1,42,13
2021-03-28,1,42,12
2021-04-04,1,39,13
2021-04-11,1,40,13
2021-04-18,1,41,13
2021-04-25,1,40,12
2021-05-02,1,41,13
2021-05-09,1,42,13
2021-05-16,1,41,13
2021-05-23,1,40,13
2021-05-30,1,45,13
2021-06-06,1,57,13
2021-06-13,2,44,13
2021-06-20,2,44,13
2021-06-27,1,46,14
2021-07-04,1,46,13
2021-07-11,1,61,14
2021-07-18,1,59,14
2021-07-25,1,97,15
2021-08-01,2,100,14
2021-08-08,1,51,14
2021-08-15,1,43,14
2021-08-22,1,44,14
2021-08-29,1,43,14
2021-09-05,2,46,14
2021-09-12,1,39,15
2021-09-19,1,39,14
2021-09-26,1,39,15
2021-10-03,1,39,14
2021-10-10,1,43,16
2021-10-17,1,39,15
2021-10-24,1,40,15
2021-10-31,1,41,14
2021-11-07,2,48,15
2021-11-14,2,44,14
2021-11-21,1,40,15
2021-11-28,1,46,15
2021-12-05,1,39,14
2021-12-12,1,39,14
2021-12-19,1,40,14
2021-12-26,1,42,14
2022-01-02,1,41,14
2022-01-09,1,42,13
2022-01-16,1,43,14
2022-01-23,1,44,14
2022-01-30,1,59,14
2022-02-06,2,51,14
2022-02-13,2,51,15
2022-02-20,5,48,16
2022-02-27,5,48,15
2022-03-06,0,0,0
