Category: All categories

Week,poland: (United States)
2021-03-14,22
2021-03-21,24
2021-03-28,26
2021-04-04,23
2021-04-11,24
2021-04-18,25
2021-04-25,25
2021-05-02,24
2021-05-09,23
2021-05-16,23
2021-05-23,25
2021-05-30,24
2021-06-06,26
2021-06-13,41
2021-06-20,33
2021-06-27,23
2021-07-04,22
2021-07-11,23
2021-07-18,23
2021-07-25,27
2021-08-01,29
2021-08-08,24
2021-08-15,22
2021-08-22,21
2021-08-29,24
2021-09-05,29
2021-09-12,21
2021-09-19,21
2021-09-26,21
2021-10-03,21
2021-10-10,25
2021-10-17,21
2021-10-24,23
2021-10-31,23
2021-11-07,32
2021-11-14,34
2021-11-21,23
2021-11-28,24
2021-12-05,25
2021-12-12,23
2021-12-19,23
2021-12-26,22
2022-01-02,22
2022-01-09,22
2022-01-16,25
2022-01-23,28
2022-01-30,28
2022-02-06,32
2022-02-13,33
2022-02-20,100
2022-02-27,93
2022-03-06,0
