St. Louis, Missouri, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1939-2000
Missing: -99
Date,Value,Anomaly
193901,38.1,7.7
194001,14.4,-16.0
194101,33.7,3.3
194201,31.1,0.7
194301,30.3,-0.1
194401,35.8,5.4
194501,27.5,-2.9
194601,33.5,3.1
194701,36.4,6.0
194801,25.3,-5.1
194901,32.2,1.8
195001,37.4,7.0
195101,32.4,2.0
195201,35.7,5.3
195301,35.0,4.6
195401,32.5,2.1
195501,32.8,2.4
195601,28.9,-1.5
195701,26.7,-3.7
195801,31.0,0.6
195901,27.4,-3.0
196001,33.9,3.5
196101,29.6,-0.8
196201,26.1,-4.3
196301,22.7,-7.7
196401,36.1,5.7
196501,33.0,2.6
196601,26.0,-4.4
196701,35.7,5.3
196801,29.6,-0.8
196901,29.8,-0.6
197001,25.4,-5.0
197101,28.3,-2.1
197201,30.8,0.4
197301,33.5,3.1
197401,31.2,0.8
197501,34.5,4.1
197601,29.4,-1.0
197701,16.1,-14.3
197801,21.3,-9.1
197901,18.0,-12.4
198001,31.8,1.4
198101,30.9,0.5
198201,22.8,-7.6
198301,32.6,2.2
198401,28.5,-1.9
198501,22.8,-7.6
198601,35.1,4.7
198701,30.8,0.4
198801,29.5,-0.9
198901,40.2,9.8
199001,42.2,11.8
199101,28.6,-1.8
199201,36.4,6.0
199301,31.4,1.0
199401,26.1,-4.3
199501,30.4,0.0
199601,28.8,-1.6
199701,27.3,-3.1
199801,37.0,6.6
199901,31.9,1.5
200001,33.6,3.2
200101,31.0,0.6
200201,37.0,6.6
200301,28.0,-2.4
200401,30.8,0.4
200501,34.0,3.6
200601,42.5,12.1
200701,34.2,3.8
200801,32.8,2.4
200901,28.8,-1.6
201001,26.6,-3.8
201101,27.2,-3.2
201201,37.5,7.1
201301,35.1,4.7
201401,26.7,-3.7
201501,32.3,1.9
201601,33.0,2.6
201701,37.0,6.6
201801,29.8,-0.6
201901,30.8,0.4
202001,35.7,5.3
202101,35.0,4.6
202201,29.0,-1.4
