Category: All categories

Week,uk: (United States)
2021-03-14,85
2021-03-21,79
2021-03-28,74
2021-04-04,80
2021-04-11,81
2021-04-18,83
2021-04-25,77
2021-05-02,81
2021-05-09,82
2021-05-16,80
2021-05-23,79
2021-05-30,80
2021-06-06,81
2021-06-13,81
2021-06-20,79
2021-06-27,88
2021-07-04,83
2021-07-11,86
2021-07-18,90
2021-07-25,96
2021-08-01,86
2021-08-08,85
2021-08-15,86
2021-08-22,86
2021-08-29,88
2021-09-05,85
2021-09-12,92
2021-09-19,86
2021-09-26,94
2021-10-03,90
2021-10-10,100
2021-10-17,96
2021-10-24,92
2021-10-31,90
2021-11-07,93
2021-11-14,88
2021-11-21,93
2021-11-28,93
2021-12-05,87
2021-12-12,90
2021-12-19,87
2021-12-26,89
2022-01-02,86
2022-01-09,83
2022-01-16,89
2022-01-23,87
2022-01-30,89
2022-02-06,87
2022-02-13,95
2022-02-20,97
2022-02-27,94
2022-03-06,0
