Category: All categories

Week,usa: (United States)
2021-03-14,41
2021-03-21,42
2021-03-28,42
2021-04-04,39
2021-04-11,40
2021-04-18,41
2021-04-25,40
2021-05-02,41
2021-05-09,42
2021-05-16,41
2021-05-23,40
2021-05-30,45
2021-06-06,57
2021-06-13,44
2021-06-20,44
2021-06-27,46
2021-07-04,46
2021-07-11,61
2021-07-18,59
2021-07-25,97
2021-08-01,100
2021-08-08,51
2021-08-15,43
2021-08-22,44
2021-08-29,43
2021-09-05,46
2021-09-12,39
2021-09-19,39
2021-09-26,39
2021-10-03,39
2021-10-10,43
2021-10-17,39
2021-10-24,40
2021-10-31,41
2021-11-07,48
2021-11-14,44
2021-11-21,40
2021-11-28,46
2021-12-05,39
2021-12-12,39
2021-12-19,40
2021-12-26,42
2022-01-02,41
2022-01-09,42
2022-01-16,43
2022-01-23,44
2022-01-30,59
2022-02-06,51
2022-02-13,51
2022-02-20,48
2022-02-27,48
2022-03-06,0
